,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
0,2/27/2021,UH1270XA,R1,99.2116,99.9707,96.2121,0.2249,100.0,0.26,0.2081,-104.8267,99.6079,386.105982,1859.9608010000002,0,763.943130902325
1,2/27/2021,UH1105XC,R1,99.7449,99.9712,96.9136,0.0905,80.6452,0.2209,0.1889,-103.3033,99.7807,405.47205099999996,3039.3791899999997,0,648.192840716262
2,2/27/2021,UH1110XE,R1,99.8326,100.0,92.3077,0.0,70.5882,0.2372,0.2214,-105.62,99.7615,450.73415,2461.1219929999997,0,101.59685894459999
3,2/27/2021,UH1270XB,R1,99.3767,100.0,96.875,0.16399999999999998,100.0,0.1522,0.1131,-105.2233,99.8463,412.90384700000004,1860.6929670000002,0,456.971686329575
4,2/27/2021,UH1314XA,R8,99.8245,100.0,100.0,0.0,96.9349,0.09300000000000001,0.0904,-104.6033,99.84700000000001,522.681393,3431.016679,0,315.963251473062
5,2/27/2021,UH1325XA,R8,99.8545,99.9478,96.9697,0.1377,98.5019,0.127,0.1307,-101.0633,99.9258,405.877785,2282.091714,0,1118.14777603639
6,2/27/2021,UH1097XA,R1,99.906,100.0,100.0,0.0594,93.5484,0.0474,0.0439,-105.46,99.9553,541.9514730000001,3146.124294,0,710.594876794375
7,2/27/2021,UH1322XD,R8,99.8503,100.0,85.7143,0.0622,97.6449,0.2152,0.22,-104.7367,99.8399,384.874168,1802.02479,0,715.2450792860001
8,2/27/2021,UH1316XC,R8,99.86200000000001,100.0,100.0,0.0411,99.5652,0.0685,0.076,-101.09,99.9189,418.0728,2604.5583579999998,0,333.0156363993
9,2/27/2021,UH1097XC,R1,99.9207,100.0,97.7273,0.0458,100.0,0.0413,0.0368,-104.12,99.95,500.59272999999996,3037.4515,0,739.4430972256
10,2/27/2021,UH1321XB,R8,99.9188,99.98299999999999,100.0,0.0882,99.2537,0.08800000000000001,0.0866,-103.4233,99.8037,472.841284,2131.932438,0,587.8597668973
11,2/27/2021,UH1116XB,R1,97.8052,99.8891,100.0,0.0,87.5,0.1704,0.0955,-106.0067,99.3682,469.38114900000005,1691.769511,0,230.9900208019
12,2/27/2021,UH1307XC,R8,99.9172,100.0,100.0,0.1165,98.5507,0.0717,0.0621,-103.5133,99.9313,496.155539,2190.031786,0,628.3244672866
13,2/27/2021,UH1093XB,R1,99.9082,99.9819,100.0,0.0251,98.4615,0.1028,0.0957,-105.835,99.9099,546.991439,3181.706528,0,637.20634343755
14,2/27/2021,UH1324XA,R8,99.6355,99.9846,100.0,0.0521,98.961,0.0695,0.0712,-104.02,99.7608,410.535444,2308.649666,0,1355.88281050058
15,2/27/2021,UH1116XD,R1,99.1467,100.0,90.9091,0.2498,91.6667,0.2906,0.2151,-106.3033,99.8029,463.367565,2163.184684,0,340.310823057
16,2/27/2021,UH1307XF,R8,99.9337,100.0,100.0,0.1207,98.1891,0.0753,0.0733,-104.07,99.9076,316.113363,1052.85625,0,404.19738312167505
17,2/27/2021,UH1307XG,R8,99.7979,100.0,100.0,0.7292,99.5215,0.1479,0.1433,-105.15,99.2424,524.656321,2878.039894,0,137.379035421
18,2/27/2021,UH1194XB,R1,99.9036,99.9886,100.0,0.0666,100.0,0.047,0.0344,-103.8833,99.9608,469.019405,2518.2345219999997,0,934.047690526537
19,2/27/2021,UH1094XA,R1,99.74799999999999,100.0,100.0,0.0524,100.0,0.0839,0.0574,-105.08,99.8759,552.341499,2630.253214,0,322.9978272198
20,2/27/2021,UH1099XA,R1,99.7758,100.0,100.0,0.1002,98.2456,0.2221,0.2012,-101.9333,99.8949,439.34728099999995,1965.33767,0,716.8636273827499
21,2/27/2021,UH1109XD,R1,99.8887,99.978,96.4286,0.0581,88.8889,0.1533,0.1547,-103.1933,99.9205,677.351746,3338.2372,0,434.1696002632
22,2/27/2021,UH1123XB,R1,99.7029,99.9185,95.6204,0.0886,88.8889,0.3899,0.3421,-101.76,99.9151,366.85107400000004,2318.7301039999998,0,854.352960385
23,2/27/2021,UH1109XF,R1,99.8589,100.0,100.0,0.0,96.6292,0.1742,0.1659,-105.66,100.0,528.0281259999999,2044.387255,0,96.49704198877501
24,2/27/2021,UH1113XC,R1,99.7637,100.0,100.0,0.109,80.0,0.0396,0.0362,-105.4833,99.9527,569.827627,3113.395943,0,313.474520345825
